year,make,model,engine,vincylinders,totalfuelcapacity,cityfuelefficiency,highwayfuelefficiency,combinedfuelefficiency,transmission,messageid,vin,id,milstatus,imei,devicetime,lastcontacttime,acceleration,deceleration,rpm,ignitionstate,speed,fuelefficiency,fuellevel,batteryconnected,batteryriskseverity,battery,lat,lng,altitude,dilution,x,y,z,headingvalue,headingdirection,virtualodometer,eventcode,sequencenumber,source,revision,gatewaytimestamp,towstate,accidentstate,idlestate,harsheventstate,parkedstate,tripid,tripaction,tripstarttimestamp,tripendtimestamp,tripcompleted,tripduration,tripstartodometer,tripendodometer,tripstartlat,tripstartlng,tripendlat,tripendlng,fueltype
,,,,,,,,,,74933941-fdf4-4424-8e74-3dd5bb4dde1e,WBSFV9C54CC772309,0f20fb6a-4ba8-4e16-a67c-7bb23d3b07cc,,999900000000433,2015-08-19T00:59:54.0000000,2015-08-19T00:59:59.1916812,0,9.9779328,1167,1,29.933724,8.928017847,78.4,,4,14.4,49.21956,-123.12867,63,1.1,2.22610955,11.0815145,1.5886773,179,South,2833,6007,189,xirgo,10210,2015-08-19T00:59:59.0913242,0,,0,,0,0fcf8d95-c286-4809-9cd2-cf9a053501e0,2,2015-08-18T00:36:40.4968226,2015-08-18T13:57:54.3376228,0,13:21:13.8408002,Record,Record,47.447767,-122.243275,49.28381,-123.12,0
,,,,,,,,,,29aafa51-464b-4152-a736-ff1c387e6d3a,JTHCF5C22C2035796,d114e76b-9391-480b-8da9-a94dc25aecee,0,999900000000296,2015-08-19T00:57:29.0000000,2015-08-19T00:59:59.8900796,0,0,0,1,0,0,0,1,4,13.3,26.21272,-80.29192,13,1,0.20593965,7.8060934,1.4317709,0,North,978,6011,73,xirgo,9244,2015-08-19T00:59:58.9296849,0,,0,,0,74d9de80-d731-4926-8c3e-9d10f6c44275,2,2015-08-18T21:23:48.3290834,2015-08-19T00:38:49.7387773,0,03:15:01.4096939,Record,Record,49.11905,-123.026381,49.28381,-123.12,0
,,,,,,,,,,b112ffed-f93e-4808-aa96-d0c2c6d5d86e,WMWSU3C50BT253257,e9839aca-8213-472e-a21b-3ccd8410c343,,999900000000376,2015-08-19T00:59:52.0000000,2015-08-19T00:59:58.7022432,0,8.851392,1051,1,20.92142,11.3088226062,84.3,,4,14.1,34.07197,-118.09944,90,1.4,5.491724,9.71839015,-0.784532,6,North,4713,6007,123,xirgo,7983,2015-08-19T00:59:58.6042340,0,,0,,0,da065ce6-c29d-4f05-9eb8-5232e651b84a,2,2015-08-18T01:24:02.4291017,2015-08-18T14:11:28.6330071,0,12:47:26.2039054,Record,Record,49.1196,-123.0269,49.28381,-123.12,0
,,,,,,,,,,4a2eed65-e1ce-4ca7-9571-ef2609ef9312,3VWNT31K96M703436,1f4290ca-bcda-43bb-9b7b-e550aae4c006,,352648063153100,2015-08-19T00:59:49.0000000,2015-08-19T00:59:59.1651664,0.9656064,0,2755,1,128.908134,9.0555609591,0,,4,14,50.09763,-120.69695,903,0.9,0.71588545,3.95207995,-8.3160392,258,West,1143,4001,129,xirgo,8113,2015-08-19T00:59:58.6511363,0,,0,,0,27ccfcac-9109-473d-9582-e3bbabf8b250,2,2015-08-18T23:15:23.5472830,2015-08-18T23:50:52.8193599,0,00:35:29.2720769,Record,Record,49.284502,-123.12099,49.28381,-123.12,0
,,,,,,,,,,2b63aaf5-f322-4a3c-beb4-d8964b88174f,3VWNT31K96M703436,1f4290ca-bcda-43bb-9b7b-e550aae4c006,,999900000000273,2015-08-19T00:59:49.0000000,2015-08-19T00:59:59.6747300,0.9656064,0,2755,1,128.908134,9.0555609591,0,,4,14,50.09763,-120.69695,903,0.9,0.71588545,3.95207995,-8.3160392,258,West,1143,4001,89,xirgo,8114,2015-08-19T00:59:58.6355113,0,,0,,0,27ccfcac-9109-473d-9582-e3bbabf8b250,2,2015-08-18T23:15:23.5472830,2015-08-18T23:50:52.8193599,0,00:35:29.2720769,Record,Record,47.44263,-122.245845,49.28381,-123.12,0
,,,,,,,,,,0e408d80-f22a-4b8e-b456-c4c08b2b6a6e,WMWSU3C50BT253257,e9839aca-8213-472e-a21b-3ccd8410c343,,352648064315385,2015-08-19T00:59:52.0000000,2015-08-19T00:59:58.8997023,0,8.851392,1051,1,20.92142,11.3088226062,84.3,,4,14.1,34.07197,-118.09944,90,1.4,5.491724,9.71839015,-0.784532,6,North,4713,6007,118,xirgo,7984,2015-08-19T00:59:58.6199021,0,,0,,0,da065ce6-c29d-4f05-9eb8-5232e651b84a,2,2015-08-18T01:24:02.4291017,2015-08-18T14:11:28.6330071,0,12:47:26.2039054,Record,Record,49.281209,-123.099680,49.28381,-123.12,0
0,,,,0,,0,0,0,,d6bda02e-dca4-4325-8d70-99032160e64d,JS2RE91S9B6101167,b2480b2e-a982-4299-892c-a972831ce65b,,352648063168082,2015-08-19T00:59:50.0000000,2015-08-19T00:59:59.6441772,1.9312128,0,1535,1,17.863674,1.8281179401,82.6,1,4,14.2,19.44006,-99.20529,2264.5,2.8,5.44269075,3.4519408,5.1386846,127.2,South East,2037,6001,232,xirgo,25959,2015-08-19T00:59:59.0758630,0,,0,,0,820f8ecb-b2d0-4fa9-9b24-b82e0c15a789,2,2015-08-19T00:58:00.3272109,2015-08-19T00:58:00.3272109,0,00:00:00,Record,Record,49.116251,-122.674856,49.28381,-123.12,0
2009,Ford,Focus,2.0L I4 140hp 136ft. lbs.,4,13.5,24,35,28,5-Speed Manual,98206248-874f-4b59-96c2-9eca389c3419,1FAHP37N99W250600,7248d7e5-d67e-4cab-923d-0137d42b2379,,999900000000451,2015-08-19T00:59:55.0000000,2015-08-19T01:00:00.1766000,0.9656064,0,2209,1,100.905618,16.580604573,94.1,1,4,13.9,49.93986,-123.16752,300,1.6,-1.61809725,-0.5099458,-10.0420096,159,South,5058,6001,96,xirgo,5608,2015-08-19T00:59:59.1225532,,,0,,0,b42d233c-f3d7-4190-857c-68be9fa5c3d7,2,2015-08-19T00:46:38.9662059,2015-08-19T00:46:38.9662059,0,00:00:00,Record,Record,49.138882,-122.734161,49.28381,-123.12,0
2009,Ford,Focus,2.0L I4 140hp 136ft. lbs.,4,13.5,24,35,28,5-Speed Manual,6c1e80b0-0a6e-48c3-9950-f1fafc5291aa,1FAHP37N99W250600,7248d7e5-d67e-4cab-923d-0137d42b2379,,352648068189182,2015-08-19T00:59:55.0000000,2015-08-19T00:59:59.7223016,0.9656064,0,2209,1,100.905618,16.580604573,94.1,1,4,13.9,49.93986,-123.16752,300,1.6,-1.61809725,-0.5099458,-10.0420096,159,South,5058,6001,51,xirgo,5609,2015-08-19T00:59:59.1381950,,,0,,0,b42d233c-f3d7-4190-857c-68be9fa5c3d7,2,2015-08-19T00:46:38.9662059,2015-08-19T00:46:38.9662059,0,00:00:00,Record,Record,49.183953,-122.844653,49.28381,-123.12,0
,,,,,,,,,,209c987b-ed66-419b-bab3-f67a7fbd702f,JTHCF5C22C2035796,d114e76b-9391-480b-8da9-a94dc25aecee,0,352648063818629,2015-08-19T00:57:29.0000000,2015-08-19T00:59:59.9369570,0,0,0,1,0,0,0,1,4,13.3,26.21272,-80.29192,13,1,0.20593965,7.8060934,1.4317709,0,North,978,6011,0,xirgo,9245,2015-08-19T00:59:58.9395078,0,,0,,0,74d9de80-d731-4926-8c3e-9d10f6c44275,2,2015-08-18T21:23:48.3290834,2015-08-19T00:38:49.7387773,0,03:15:01.4096939,Record,Record,26.23988,-80.25731,26.21279,-80.29188,0
